timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1008;1008;1007;838;1023;0.00;0.00;44330.00;0.00;8.00;260;
1;1016;1016;1018;842;1023;0.00;0.00;44330.00;0.00;4.22;260;
2;1018;1023;1018;847;1023;0.00;0.00;44330.00;0.00;4.22;260;
3;1021;1018;1018;848;1023;0.00;0.00;44330.00;0.00;4.22;260;
4;1023;1018;1023;847;1023;0.00;0.00;44330.00;0.00;13.56;259;
5;1021;1016;1020;841;1023;0.00;0.00;44330.00;0.00;20.00;260;
6;1021;1023;1023;849;1023;0.00;0.00;44330.00;0.00;8.89;260;
7;1021;1022;1022;849;1023;0.00;0.00;44330.00;0.00;7.33;260;
8;1022;1023;1022;849;1023;0.00;0.00;44330.00;0.00;7.11;258;
9;1018;1023;1023;845;1023;0.00;0.00;44330.00;0.00;5.56;259;
10;1021;1018;1021;849;1023;0.00;0.00;44330.00;0.00;9.78;260;
11;1018;1021;1021;844;1023;0.00;0.00;44330.00;0.00;8.89;260;
12;1022;1022;1023;847;1023;0.00;0.00;44330.00;0.00;5.56;260;
13;1019;1022;1023;844;1023;0.00;0.00;44330.00;0.00;12.89;259;
14;1022;1020;1023;848;1023;0.00;0.00;44330.00;0.00;7.56;259;
15;1023;1020;1018;847;1023;0.00;0.00;44330.00;0.00;5.56;259;
16;1018;1018;1021;849;1023;0.00;0.00;44330.00;0.00;2.89;259;
17;1018;1022;1023;844;1023;0.00;0.00;44330.00;0.00;2.89;259;
18;1018;1018;1019;844;1023;0.00;0.00;44330.00;0.00;2.89;474;
19;1021;1018;1018;843;1023;0.00;0.00;44330.00;0.00;1.56;578;
20;1023;1020;1023;846;1023;0.00;0.00;44330.00;0.00;1.33;143;
21;1023;1023;1020;846;1023;0.00;0.00;44330.00;0.00;4.22;143;
22;1023;1022;1023;849;1023;0.00;0.00;44330.00;0.00;2.89;143;
23;1019;1018;1022;844;1023;0.00;0.00;44330.00;0.00;2.89;143;
24;1023;1022;1021;848;1023;0.00;0.00;44330.00;0.00;1.56;144;
25;1023;1021;1019;849;1023;0.00;0.00;44330.00;0.00;2.89;34;
26;1022;1023;1023;845;1023;0.00;0.00;44330.00;0.00;6.89;34;
27;1021;1023;1023;848;1023;0.00;0.00;44330.00;0.00;9.56;143;
28;1022;1023;1022;849;1023;0.00;0.00;44330.00;0.00;6.89;143;
29;1020;1022;1023;849;1023;0.00;0.00;44330.00;0.00;4.00;73;
30;1019;1019;1023;848;1023;0.00;0.00;44330.00;0.00;6.67;12;
31;1023;1022;1021;846;1023;0.00;0.00;44330.00;0.00;4.00;73;
32;1023;1023;1023;849;1023;0.00;0.00;44330.00;0.00;4.89;144;
33;1023;1023;1021;848;1023;0.00;0.00;44330.00;0.00;2.89;372;
34;1021;1016;1021;845;1023;0.00;0.00;44330.00;0.00;4.22;372;
35;1021;1016;1016;844;1023;0.00;0.00;44330.00;0.00;4.22;373;
36;1023;1021;1023;849;1023;0.00;0.00;44330.00;0.00;10.67;143;
37;1023;1022;1022;846;1023;0.00;0.00;44330.00;0.00;16.22;73;
38;1023;1019;1019;849;1023;0.00;0.00;44330.00;0.00;16.00;372;
39;1022;1022;1023;848;1023;0.00;0.00;44330.00;0.00;7.11;73;
40;1023;1021;1021;846;1023;nan;nan;nan;nan;9.56;141;
41;1016;1020;1019;844;1023;nan;nan;nan;nan;8.22;74;
42;1022;1023;1018;849;1023;nan;nan;nan;nan;14.22;72;
43;1023;1023;1020;849;1023;nan;nan;nan;nan;11.33;143;
44;1022;1023;1023;849;1023;nan;nan;nan;nan;10.00;372;
45;1019;1022;1021;845;1023;nan;nan;nan;nan;8.67;73;
46;1015;1019;1016;842;1023;nan;nan;nan;nan;8.89;372;
47;1019;1023;1022;849;1023;nan;nan;nan;nan;7.33;11;
48;1022;1021;1023;846;1023;nan;nan;nan;nan;9.33;372;
49;1018;1020;1023;848;1023;nan;nan;nan;nan;5.56;33;
50;1023;1019;1022;849;1023;nan;nan;nan;nan;11.56;73;
51;1020;1018;1020;844;1023;nan;nan;nan;nan;8.67;577;
52;1018;1022;1018;848;1023;nan;nan;nan;nan;10.22;143;
53;1019;1022;1018;849;1023;nan;nan;nan;nan;7.11;73;
54;1020;1023;1022;845;1023;nan;nan;nan;nan;4.22;73;
55;1023;1018;1023;846;1023;nan;nan;nan;nan;2.89;73;
56;1023;1018;1023;848;1023;nan;nan;nan;nan;4.22;74;
57;1023;1020;1023;849;1023;nan;nan;nan;nan;4.67;73;
58;1018;1022;1018;846;1023;nan;nan;nan;nan;9.78;34;
59;1023;1021;1018;849;1023;nan;nan;nan;nan;13.33;143;
60;1018;1019;1018;849;1023;nan;nan;nan;nan;6.89;143;
61;1023;1023;1019;847;1023;nan;nan;nan;nan;4.00;141;
62;1023;1018;1019;848;1023;nan;nan;nan;nan;4.22;73;
63;1020;1022;1022;848;1023;nan;nan;nan;nan;4.22;74;
64;1019;1018;1022;845;1023;nan;nan;nan;nan;4.00;73;
65;1014;1018;1017;841;1023;nan;nan;nan;nan;4.67;501;
66;1019;1022;1022;849;1023;nan;nan;nan;nan;2.89;144;
67;1018;1023;1022;845;1023;nan;nan;nan;nan;2.67;113;
68;1014;1018;1019;842;1023;nan;nan;nan;nan;2.89;372;
69;1016;1017;1018;845;1023;nan;nan;nan;nan;5.56;369;
70;1014;1018;1019;844;1023;nan;nan;nan;nan;4.67;143;
71;1020;1022;1021;844;1023;nan;nan;nan;nan;1.56;73;
72;1022;1019;1022;845;1023;nan;nan;nan;nan;3.11;5;
73;1023;1023;1020;848;1023;nan;nan;nan;nan;4.00;6;
74;1018;1022;1023;848;1023;nan;nan;nan;nan;4.67;72;
75;1020;1023;1022;845;1023;nan;nan;nan;nan;5.56;74;
76;1018;1022;1023;849;1023;nan;nan;nan;nan;5.56;11;
77;1023;1020;1019;849;1023;nan;nan;nan;nan;6.89;4;
78;1020;1022;1023;849;1023;nan;nan;nan;nan;8.00;11;
79;1018;1022;1023;849;1023;nan;nan;nan;nan;9.56;10;
80;1023;1019;1023;848;1023;nan;nan;nan;nan;8.22;12;
81;1023;1019;1023;848;1023;nan;nan;nan;nan;13.56;5;
82;1018;1023;1022;844;1023;nan;nan;nan;nan;10.89;10;
83;1022;1023;1023;846;1023;nan;nan;nan;nan;14.89;10;
