timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1014;1019;1018;844;1023;37.76;1004.63;72.05;18.57;6.67;73;
1;1022;1018;1023;846;1023;37.90;1004.64;71.92;18.27;12.22;73;
2;1022;1023;1018;849;1023;37.93;1004.63;72.03;18.14;9.56;73;
3;1022;1019;1018;849;1023;37.95;1004.63;72.02;18.10;10.44;142;
4;1022;1018;1020;848;1023;38.00;1004.62;72.07;18.15;12.44;73;
5;1022;1020;1022;847;1023;37.93;1004.61;72.21;18.15;18.00;143;
6;1018;1014;1017;844;1023;37.92;1004.59;72.33;18.22;20.22;372;
7;1021;1019;1021;845;1023;37.71;1004.64;71.92;17.84;7.33;73;
8;1019;1016;1016;845;1023;37.68;1004.62;72.14;17.91;12.44;143;
9;1020;1018;1022;844;1023;37.76;1004.65;71.85;18.21;7.11;73;
10;1018;1022;1023;844;1023;37.79;1004.64;71.93;18.37;4.44;73;
11;1023;1022;1019;849;1023;37.79;1004.62;72.13;18.38;4.44;73;
12;1022;1018;1022;849;1023;37.78;1004.64;71.94;18.42;4.44;73;
13;1019;1023;1022;848;1023;37.77;1004.63;72.02;18.38;2.89;72;
14;1023;1023;1018;844;1023;37.79;1004.66;71.79;18.56;4.44;371;
15;1022;1022;1023;849;1023;37.83;1004.63;72.05;18.63;7.11;34;
16;1018;1023;1022;844;1023;37.83;1004.60;72.31;18.58;9.56;73;
17;1019;1019;1021;846;1023;37.85;1004.61;72.20;18.49;5.56;-7;
18;1023;1018;1022;848;1023;37.94;1004.59;72.34;18.49;7.11;11;
19;1019;1022;1018;844;1023;37.99;1004.58;72.46;18.50;8.22;259;
20;1023;1021;1018;845;1023;38.06;1004.58;72.45;18.43;6.67;74;
21;1022;1022;1020;848;1023;38.07;1004.56;72.63;18.55;8.22;-8;
22;1018;1020;1020;848;1023;38.10;1004.55;72.68;18.33;11.11;73;
23;1019;1022;1018;849;1023;38.14;1004.56;72.58;18.32;6.89;73;
24;1018;1020;1020;845;1023;38.20;1004.59;72.33;18.37;5.78;142;
25;1022;1018;1023;849;1023;38.22;1004.56;72.64;18.46;4.22;142;
26;1020;1018;1022;848;1023;38.25;1004.60;72.31;18.39;2.89;73;
27;1022;1023;1023;848;1023;38.29;1004.61;72.13;18.51;5.56;258;
28;1021;1021;1017;846;1023;38.28;1004.58;72.45;18.52;8.44;259;
29;1015;1016;1018;845;1023;38.28;1004.58;72.47;18.53;8.89;371;
30;1022;1022;1018;848;1023;38.25;1004.55;72.65;18.33;17.33;73;
31;1019;1023;1020;848;1023;38.25;1004.60;72.25;18.25;8.89;73;
32;1020;1022;1018;844;1023;38.26;1004.57;72.54;18.31;10.22;72;
33;1019;1022;1022;848;1023;38.26;1004.60;72.28;18.27;7.33;72;
34;1023;1019;1023;844;1023;38.25;1004.59;72.39;18.28;7.56;73;
35;1023;1023;1020;848;1023;38.19;1004.56;72.61;18.17;13.11;73;
36;1018;1023;1022;849;1023;38.21;1004.57;72.53;18.18;12.89;143;
37;1019;1023;1022;846;1023;38.24;1004.55;72.72;18.19;8.00;143;
38;1022;1018;1018;849;1023;38.24;1004.54;72.76;18.30;13.11;143;
39;1020;1023;1022;845;1023;38.20;1004.55;72.69;18.30;20.89;142;
40;1019;1023;1020;844;1023;38.21;1004.55;72.67;18.20;24.22;143;
41;1022;1022;1022;844;1023;38.00;1004.56;72.61;18.07;11.56;73;
42;1020;1021;1018;847;1023;38.01;1004.52;72.97;18.15;9.78;142;
43;1018;1019;1020;843;1023;37.80;1004.56;72.58;17.94;16.00;370;
44;1019;1017;1015;844;1023;37.74;1004.47;73.36;17.98;13.78;258;
45;1022;1018;1019;849;1023;37.83;1004.51;73.01;18.09;0.00;500;
46;1015;1019;1014;845;1023;37.76;1004.52;72.93;17.88;10.44;142;
47;1016;1018;1014;845;1023;37.82;1004.55;72.68;18.06;9.33;142;
48;1023;1019;1018;844;1023;37.91;1004.50;73.07;17.97;7.33;142;
49;1022;1023;1018;849;1023;38.01;1004.57;72.55;18.19;8.89;142;
50;1019;1018;1019;849;1023;37.94;1004.56;72.64;18.01;13.11;141;
51;1018;1020;1023;849;1023;37.98;1004.57;72.51;18.19;13.11;10;
52;1019;1017;1015;842;1023;38.08;1004.50;73.09;18.33;14.67;368;
53;1020;1019;1018;844;1023;38.02;1004.54;72.79;18.28;19.11;371;
54;1017;1018;1018;844;1023;37.90;1004.57;72.54;17.96;14.67;473;
55;1018;1018;1023;849;1023;37.90;1004.56;72.64;17.90;11.78;72;
56;1022;1023;1019;848;1023;37.90;1004.54;72.80;17.85;4.67;73;
57;1022;1022;1023;847;1023;37.86;1004.55;72.65;17.97;10.44;72;
58;1023;1023;1022;848;1023;37.90;1004.52;72.97;18.05;13.11;140;
59;1019;1015;1015;842;1023;37.91;1004.54;72.81;18.08;11.78;142;
60;1014;1014;1019;845;1023;37.90;1004.50;73.07;18.10;10.44;538;
61;1020;1017;1020;846;1023;37.99;1004.54;72.77;18.04;6.00;258;
62;1020;1021;1021;847;1023;38.13;1004.53;72.89;18.28;6.00;258;
63;1021;1020;1020;846;1023;38.17;1004.53;72.82;18.40;3.11;258;
64;1018;1019;1018;847;1023;38.20;1004.53;72.88;18.52;4.44;259;
65;1017;1017;1021;847;1023;38.24;1004.52;72.92;18.36;3.11;257;
66;1017;1018;1017;843;1023;38.29;1004.56;72.61;18.31;4.44;258;
67;1018;1019;1021;847;1023;38.32;1004.54;72.79;18.11;6.00;258;
68;1020;1017;1020;846;1023;38.36;1004.54;72.78;18.00;6.00;258;
69;1021;1021;1021;847;1023;38.45;1004.49;73.18;18.00;6.89;258;
70;1021;1021;1021;847;1023;38.50;1004.49;73.19;17.96;16.00;258;
71;1020;1020;1020;846;1023;38.58;1004.52;72.95;18.03;10.22;258;
72;1018;1018;1021;847;1023;38.66;1004.53;72.82;18.15;8.89;258;
73;1016;1021;1021;847;1023;38.77;1004.52;72.92;18.17;11.56;258;
74;1020;1017;1019;845;1023;38.83;1004.51;73.01;18.11;10.22;257;
75;1019;1020;1018;844;1023;38.93;1004.55;72.68;18.21;4.44;471;
76;1018;1019;1018;844;1023;39.04;1004.53;72.90;18.22;4.67;258;
77;1020;1020;1018;845;1023;39.15;1004.57;72.49;18.23;6.44;258;
78;1015;1013;1017;844;1023;39.17;1004.55;72.66;17.90;12.89;258;
79;1020;1021;1018;844;1023;39.26;1004.55;72.66;17.75;13.11;258;
80;1020;1021;1018;844;1023;39.34;1004.54;72.80;18.03;7.56;259;
81;1018;1021;1018;847;1023;39.40;1004.53;72.82;18.15;11.78;256;
82;1021;1021;1021;847;1023;39.37;1004.57;72.50;17.84;15.78;258;
83;1020;1017;1020;846;1023;39.37;1004.57;72.55;17.80;17.56;258;
84;1020;1020;1021;847;1023;39.25;1004.48;73.23;17.57;22.00;73;
85;1018;1018;1019;845;1023;39.29;1004.54;72.79;17.69;16.00;141;
86;1022;1022;1022;848;1023;39.27;1004.56;72.62;17.58;11.78;142;
87;1022;1021;1023;849;1023;39.27;1004.57;72.48;17.76;10.44;-8;
88;1023;1023;1018;844;1023;39.13;1004.50;73.09;17.55;14.44;72;
