timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1018;1021;1016;845;1023;0.00;0.00;44330.00;0.00;8.00;10;
1;1021;1023;1023;845;1023;0.00;0.00;44330.00;0.00;6.44;11;
2;1022;1022;1023;845;926;0.00;0.00;44330.00;0.00;6.44;12;
3;1023;1022;1023;849;901;0.00;0.00;44330.00;0.00;4.89;12;
4;1022;1019;1022;849;857;0.00;0.00;44330.00;0.00;4.89;72;
5;1020;1019;1022;847;856;0.00;0.00;44330.00;0.00;3.33;73;
6;1023;1023;1023;846;833;0.00;0.00;44330.00;0.00;4.89;73;
7;1022;1023;1022;849;806;0.00;0.00;44330.00;0.00;4.89;11;
8;1022;1022;1023;849;790;0.00;0.00;44330.00;0.00;4.89;12;
9;1023;1021;1023;848;791;0.00;0.00;44330.00;0.00;3.33;11;
10;1020;1022;1023;849;785;0.00;0.00;44330.00;0.00;3.33;142;
11;1023;1022;1023;849;764;0.00;0.00;44330.00;0.00;9.56;11;
12;1022;1019;1020;849;781;0.00;0.00;44330.00;0.00;15.56;11;
13;1019;1022;1023;849;790;0.00;0.00;44330.00;0.00;8.00;11;
14;1019;1022;1022;849;755;0.00;0.00;44330.00;0.00;4.89;-8;
15;1023;1019;1019;849;759;0.00;0.00;44330.00;0.00;4.89;11;
16;1020;1023;1023;848;752;0.00;0.00;44330.00;0.00;3.33;12;
17;1023;1019;1023;848;752;0.00;0.00;44330.00;0.00;1.78;11;
18;1022;1023;1019;848;760;0.00;0.00;44330.00;0.00;1.78;11;
19;1019;1022;1023;849;758;0.00;0.00;44330.00;0.00;6.44;12;
20;1019;1022;1022;845;776;0.00;0.00;44330.00;0.00;11.33;11;
21;1023;1020;1023;849;768;0.00;0.00;44330.00;0.00;14.00;11;
22;1019;1023;1022;849;757;0.00;0.00;44330.00;0.00;9.11;12;
23;1023;1022;1022;848;747;0.00;0.00;44330.00;0.00;6.22;142;
24;1022;1023;1019;849;743;0.00;0.00;44330.00;0.00;4.44;73;
25;1021;1022;1023;846;749;0.00;0.00;44330.00;0.00;3.11;11;
26;1023;1020;1020;849;732;0.00;0.00;44330.00;0.00;3.33;10;
27;1023;1023;1023;847;727;0.00;0.00;44330.00;0.00;4.44;12;
28;1020;1019;1020;849;721;0.00;0.00;44330.00;0.00;4.89;12;
29;1017;1020;1021;847;691;0.00;0.00;44330.00;0.00;12.67;576;
30;1019;1021;1017;844;712;0.00;0.00;44330.00;0.00;9.56;370;
31;1016;1018;1018;842;699;0.00;0.00;44330.00;0.00;4.89;255;
32;1022;1023;1019;848;689;0.00;0.00;44330.00;0.00;3.33;258;
33;1022;1019;1018;848;685;0.00;0.00;44330.00;0.00;4.89;11;
34;1019;1022;1023;849;686;0.00;0.00;44330.00;0.00;3.33;10;
35;1023;1022;1022;846;697;0.00;0.00;44330.00;0.00;8.00;11;
36;1022;1023;1023;848;695;0.00;0.00;44330.00;0.00;11.11;72;
37;1023;1019;1023;849;729;0.00;0.00;44330.00;0.00;28.44;71;
38;1022;1023;1023;848;753;0.00;0.00;44330.00;0.00;17.33;72;
39;1023;1023;1023;849;746;0.00;0.00;44330.00;0.00;12.44;73;
40;1023;1022;1022;845;726;0.00;0.00;44330.00;0.00;11.11;73;
41;1023;1019;1023;848;705;0.00;0.00;44330.00;0.00;6.44;72;
42;1023;1019;1019;848;708;0.00;0.00;44330.00;0.00;4.67;11;
43;1023;1020;1023;849;723;0.00;0.00;44330.00;0.00;4.89;11;
44;1019;1023;1022;849;714;0.00;0.00;44330.00;0.00;3.11;5;
45;1023;1019;1019;849;714;0.00;0.00;44330.00;0.00;4.89;258;
46;1022;1023;1019;848;719;0.00;0.00;44330.00;0.00;4.89;73;
47;1019;1023;1023;845;737;0.00;0.00;44330.00;0.00;6.44;73;
48;1023;1019;1023;848;734;0.00;0.00;44330.00;0.00;4.89;11;
49;1019;1022;1022;849;750;0.00;0.00;44330.00;0.00;6.44;11;
50;1023;1023;1020;849;776;0.00;0.00;44330.00;0.00;4.89;11;
51;1019;1023;1022;844;830;0.00;0.00;44330.00;0.00;3.33;73;
52;1020;1020;1020;846;1023;0.00;0.00;44330.00;0.00;3.33;10;
53;1023;1019;1023;848;1023;0.00;0.00;44330.00;0.00;9.56;72;
54;1019;1022;1022;849;1023;0.00;0.00;44330.00;0.00;6.44;72;
55;1023;1019;1019;848;1023;0.00;0.00;44330.00;0.00;4.89;72;
56;1023;1023;1022;846;1023;0.00;0.00;44330.00;0.00;3.33;72;
57;1019;1023;1023;845;1023;0.00;0.00;44330.00;0.00;4.89;11;
58;1023;1021;1022;844;1023;0.00;0.00;44330.00;0.00;4.89;11;
59;1023;1020;1021;845;1023;0.00;0.00;44330.00;0.00;3.33;11;
60;1020;1022;1022;845;1023;0.00;0.00;44330.00;0.00;8.00;33;
61;1019;1022;1022;849;1023;0.00;0.00;44330.00;0.00;7.56;72;
62;1023;1021;1023;849;1023;0.00;0.00;44330.00;0.00;13.56;10;
63;1023;1021;1023;845;1023;0.00;0.00;44330.00;0.00;9.56;11;
64;1022;1019;1023;849;1023;0.00;0.00;44330.00;0.00;8.00;11;
65;1021;1022;1022;847;1023;0.00;0.00;44330.00;0.00;9.56;257;
66;1023;1022;1018;845;1023;0.00;0.00;44330.00;0.00;7.56;112;
67;1020;1016;1016;846;1023;0.00;0.00;44330.00;0.00;6.22;469;
68;1023;1019;1020;847;1023;0.00;0.00;44330.00;0.00;8.89;11;
69;1018;1022;1021;847;1023;0.00;0.00;44330.00;0.00;10.44;469;
70;1023;1023;1018;845;1023;0.00;0.00;44330.00;0.00;9.56;257;
71;1019;1022;1023;849;1023;0.00;0.00;44330.00;0.00;11.11;4;
72;1021;1022;1020;848;1023;0.00;0.00;44330.00;0.00;8.00;12;
73;1022;1018;1020;849;1023;0.00;0.00;44330.00;0.00;4.67;-7;
74;1019;1022;1022;849;1023;0.00;0.00;44330.00;0.00;6.44;257;
75;1023;1021;1021;844;1023;0.00;0.00;44330.00;0.00;14.00;11;
76;1020;1023;1023;845;1023;0.00;0.00;44330.00;0.00;12.89;12;
77;1023;1019;1019;849;1023;0.00;0.00;44330.00;0.00;4.89;10;
78;1023;1023;1022;848;1023;0.00;0.00;44330.00;0.00;4.89;72;
79;1019;1021;1023;845;1023;0.00;0.00;44330.00;0.00;1.78;72;
80;1023;1020;1023;848;1023;0.00;0.00;44330.00;0.00;4.89;71;
81;1023;1020;1019;848;1023;0.00;0.00;44330.00;0.00;4.67;73;
82;1022;1023;1023;849;1023;0.00;0.00;44330.00;0.00;9.56;72;
83;1023;1019;1023;845;1023;0.00;0.00;44330.00;0.00;8.00;257;
84;1021;1018;1018;849;1023;0.00;0.00;44330.00;0.00;7.78;257;
85;1023;1021;1022;844;1023;0.00;0.00;44330.00;0.00;9.56;257;
86;1023;1021;1019;848;1023;0.00;0.00;44330.00;0.00;7.78;471;
87;1022;1020;1020;845;1023;0.00;0.00;44330.00;0.00;26.44;257;
88;1020;1022;1022;844;1023;0.00;0.00;44330.00;0.00;19.78;256;
89;1020;1023;1021;844;1023;0.00;0.00;44330.00;0.00;21.78;257;
90;1023;1020;1022;847;1023;0.00;0.00;44330.00;0.00;22.44;10;
91;1019;1022;1023;849;1023;0.00;0.00;44330.00;0.00;25.33;10;
92;1019;1017;1020;844;1023;0.00;0.00;44330.00;0.00;25.78;256;
93;1018;1014;1018;841;1023;0.00;0.00;44330.00;0.00;15.78;471;
94;1023;1018;1021;847;1023;0.00;0.00;44330.00;0.00;7.78;255;
95;1023;1023;1023;849;1023;0.00;0.00;44330.00;0.00;7.78;11;
96;1022;1020;1022;845;926;0.00;0.00;44330.00;0.00;14.22;10;
97;1023;1019;1023;847;997;0.00;0.00;44330.00;0.00;7.78;11;
98;1022;1020;1022;849;1023;0.00;0.00;44330.00;0.00;4.67;141;
99;1022;1023;1023;848;917;0.00;0.00;44330.00;0.00;4.44;12;
100;1020;1023;1023;849;843;0.00;0.00;44330.00;0.00;10.89;72;
101;1022;1023;1019;849;818;0.00;0.00;44330.00;0.00;9.56;12;
102;1023;1019;1023;848;806;0.00;0.00;44330.00;0.00;6.22;73;
