timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1010;1007;1007;839;1023;32.38;1004.67;71.72;22.96;19.11;630;
1;1018;1021;1019;847;1023;32.40;1004.63;72.02;22.51;12.67;628;
2;1018;1020;1021;846;1023;32.49;1004.70;71.41;22.41;10.00;628;
3;1018;1019;1021;846;1023;32.59;1004.71;71.39;22.46;8.67;627;
4;1019;1022;1021;845;1023;32.66;1004.64;71.96;22.44;6.44;628;
5;1018;1023;1018;844;1023;32.72;1004.62;72.11;22.29;4.89;628;
6;1021;1019;1018;845;1023;32.85;1004.62;72.10;22.17;7.78;626;
7;1019;1021;1017;844;1023;32.94;1004.62;72.13;22.10;10.89;630;
8;1019;1018;1021;844;1023;32.82;1004.61;72.19;21.84;21.78;629;
9;1023;1020;1022;844;1023;32.89;1004.60;72.30;21.78;14.89;629;
10;1020;1018;1021;844;1023;33.08;1004.65;71.84;21.78;10.44;627;
11;1021;1021;1020;844;1023;33.26;1004.63;72.01;21.86;8.89;625;
12;1023;1021;1020;845;1023;33.43;1004.71;71.37;21.83;8.89;628;
13;1017;1023;1021;844;1023;33.53;1004.65;71.82;21.26;18.00;630;
14;1021;1021;1020;844;1023;33.54;1004.63;72.00;21.33;14.89;624;
15;1018;1019;1020;845;1023;33.70;1004.60;72.28;21.50;7.33;627;
16;1018;1020;1021;846;1023;33.77;1004.59;72.34;21.53;3.11;624;
17;1016;1021;1018;844;1023;33.82;1004.59;72.38;21.48;4.67;628;
18;1021;1019;1018;844;1023;33.85;1004.59;72.33;21.43;4.89;627;
19;1020;1018;1017;844;1023;33.85;1004.62;72.24;21.32;3.56;623;
20;1021;1018;1021;849;1023;33.88;1004.64;71.97;21.44;3.33;627;
21;1021;1021;1018;844;1023;33.90;1004.61;72.16;21.57;9.56;626;
22;1023;1022;1020;848;1023;33.78;1004.60;72.29;21.44;18.89;625;
23;1021;1021;1021;847;1023;33.45;1004.58;72.42;21.46;17.56;629;
24;1021;1019;1018;844;1023;33.49;1004.55;72.70;21.43;15.78;627;
25;1021;1019;1023;847;1023;33.52;1004.60;72.15;21.38;9.78;627;
26;1020;1017;1018;844;1023;33.46;1004.65;71.82;21.33;10.22;625;
27;1021;1023;1018;844;1023;181.77;-228.77;nan;100.00;10.44;625;
28;1019;1023;1022;849;1023;181.77;-228.77;nan;100.00;14.22;627;
29;1020;1021;1021;847;1023;33.16;1004.62;72.12;21.42;13.33;627;
30;1021;1021;1020;847;1023;33.09;1004.67;71.70;21.43;11.33;626;
31;1021;1019;1018;845;1023;33.06;1004.62;72.10;21.45;10.44;627;
32;1021;1021;1020;844;1023;33.03;1004.63;72.00;21.49;10.22;629;
33;1018;1021;1019;847;1023;33.01;1004.63;72.00;21.53;7.11;629;
34;1021;1020;1019;847;1023;33.04;1004.65;71.87;21.61;4.89;625;
35;1020;1021;1018;847;1023;33.06;1004.64;71.92;21.67;1.56;628;
