timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1016;1014;1012;841;885;27.04;1021.11;-65.23;19.44;0.00;171;
1;1023;1023;1023;849;1023;26.75;1021.12;-65.32;18.01;1.33;552;
2;1019;1020;1020;844;1010;26.85;1021.14;-65.44;18.13;3.33;553;
3;1021;1021;1021;844;1023;26.84;1021.12;-65.33;18.18;1.56;305;
4;1023;1023;1023;846;987;26.75;1021.12;-65.29;18.14;0.00;305;
5;1021;1018;1021;847;908;26.67;1021.17;-65.72;18.19;3.11;552;
6;1019;1018;1018;846;906;26.63;1021.17;-65.72;18.37;4.22;552;
7;1018;1022;1020;847;875;26.53;1021.14;-65.52;18.47;4.22;553;
8;1019;1021;1018;847;833;26.50;1021.20;-65.99;19.22;6.89;629;
9;1022;1023;1019;849;955;26.41;1021.17;-65.73;19.06;8.00;583;
10;1020;1023;1023;849;1023;26.21;1021.18;-65.82;18.71;13.56;91;
11;1023;1023;1022;848;1023;26.15;1021.19;-65.90;18.75;8.22;92;
12;1021;1023;1022;849;1023;26.04;1021.19;-65.93;18.53;5.56;305;
13;1022;1020;1021;847;1023;26.00;1021.14;-65.51;18.81;4.44;20;
14;1022;1021;1020;844;1023;25.86;1021.20;-66.00;18.52;2.89;305;
15;1023;1023;1023;849;995;25.82;1021.17;-65.76;18.81;2.89;13;
16;1021;1018;1021;847;948;25.76;1021.16;-65.69;19.14;1.56;20;
17;1023;1022;1022;849;914;25.70;1021.15;-65.53;19.18;3.11;20;
18;1023;1020;1022;849;936;25.57;1021.22;-66.11;18.75;6.89;20;
19;1023;1021;1023;846;928;25.58;1021.17;-65.76;18.67;4.22;19;
20;1020;1023;1023;846;920;25.52;1021.20;-65.94;18.64;1.56;20;
21;1023;1020;1023;849;938;25.46;1021.20;-65.96;18.72;2.89;21;
22;1020;1023;1023;849;943;25.40;1021.18;-65.78;18.75;0.22;20;
23;1023;1020;1022;848;907;25.32;1021.22;-66.15;18.81;0.22;20;
24;1020;1022;1023;849;915;25.25;1021.22;-66.13;18.91;0.22;20;
25;1023;1020;1023;848;909;25.18;1021.19;-65.91;19.00;1.33;20;
26;1020;1023;1023;849;908;25.12;1021.16;-65.64;19.10;0.00;19;
27;1020;1021;1023;849;897;25.06;1021.18;-65.82;19.17;1.56;21;
28;1022;1023;1022;847;907;24.85;1021.17;-65.77;18.87;2.89;21;
29;1022;1023;1023;846;890;24.88;1021.18;-65.88;19.00;4.22;20;
30;1022;1023;1022;848;911;24.83;1021.18;-65.83;19.09;2.89;20;
31;1022;1023;1021;849;890;24.78;1021.20;-65.97;19.16;5.56;20;
32;1023;1023;1023;849;883;24.49;1021.17;-65.74;18.94;8.22;13;
33;1023;1022;1022;849;963;24.54;1021.19;-65.92;18.93;5.33;21;
34;1023;1023;1022;849;951;24.40;1021.27;-66.54;18.93;10.89;13;
35;1023;1022;1022;848;1023;24.31;1021.28;-66.68;18.87;8.22;13;
36;1023;1022;1022;849;1023;24.24;1021.23;-66.19;19.01;2.89;13;
37;1018;1021;1018;845;958;24.09;1021.22;-66.14;19.01;4.22;20;
38;1022;1021;1021;848;989;24.10;1021.21;-66.08;19.03;1.56;-1;
39;1018;1022;1022;847;972;24.00;1021.26;-66.52;19.08;2.89;92;
40;1023;1020;1022;849;967;24.01;1021.22;-66.11;19.20;6.89;91;
41;1021;1019;1019;844;962;23.76;1021.22;-66.16;19.13;6.44;304;
42;1021;1018;1022;847;1013;23.73;1021.23;-66.20;19.17;3.78;304;
43;1022;1022;1022;847;1009;23.57;1021.24;-66.29;19.22;4.22;304;
44;1018;1022;1022;844;963;23.53;1021.22;-66.11;19.30;4.22;304;
45;1022;1021;1021;848;989;23.55;1021.20;-65.99;19.46;2.89;304;
46;1022;1020;1019;847;905;23.53;1021.23;-66.20;19.57;1.33;20;
47;1023;1023;1023;849;950;23.52;1021.24;-66.29;19.70;6.89;19;
48;1023;1023;1023;846;950;23.48;1021.25;-66.36;19.68;6.89;21;
49;1023;1023;1023;849;934;23.45;1021.24;-66.27;19.59;13.11;20;
50;1023;1022;1023;846;949;23.38;1021.21;-66.06;19.59;10.00;20;
51;1022;1023;1023;849;979;23.24;1021.23;-66.19;19.62;7.11;21;
52;1023;1023;1023;849;936;23.21;1021.20;-66.02;19.70;4.67;19;
53;1019;1021;1018;847;919;23.03;1021.16;-65.69;19.76;14.44;19;
54;1022;1023;1020;849;841;22.80;1021.21;-66.03;19.81;16.00;20;
55;1023;1023;1023;849;987;22.85;1021.19;-65.89;19.85;8.89;20;
56;1023;1023;1023;846;964;22.79;1021.21;-66.09;19.91;6.00;13;
57;1023;1023;1023;846;952;22.85;1021.19;-65.89;19.97;1.78;21;
58;1022;1023;1020;849;938;22.73;1021.23;-66.27;19.98;10.22;20;
59;1023;1020;1023;849;878;22.79;1021.21;-66.04;20.01;4.89;20;
60;1023;1022;1022;849;880;22.76;1021.25;-66.39;20.05;3.33;20;
61;1023;1023;1023;846;983;22.70;1021.19;-65.92;20.11;0.22;20;
62;1023;1022;1023;849;992;22.66;1021.16;-65.62;20.18;6.00;13;
63;1023;1023;1023;846;1004;22.28;1021.20;-65.97;20.27;16.00;20;
64;1021;1023;1021;849;995;22.28;1021.23;-66.24;20.44;8.44;20;
65;1023;1020;1023;849;957;22.19;1021.20;-65.98;20.43;6.00;20;
66;1023;1022;1023;846;993;22.30;1021.22;-66.09;20.44;1.56;20;
67;1023;1021;1020;849;960;22.30;1021.21;-66.03;20.42;1.56;20;
68;1022;1023;1023;848;977;22.27;1021.21;-66.05;20.43;0.22;21;
69;1023;1021;1020;849;955;22.23;1021.19;-65.90;20.47;1.56;20;
70;1023;1023;1023;846;960;22.20;1021.18;-65.84;20.53;0.00;19;
71;1023;1022;1020;849;965;22.18;1021.22;-66.17;20.57;1.56;20;
72;1023;1023;1023;849;972;22.14;1021.22;-66.14;20.58;0.22;20;
73;1023;1023;1023;848;949;22.11;1021.22;-66.15;20.60;3.11;19;
